rdt_id,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,primary_line,cause_group,statistical_cause_nl,long_disruption
59508,16,Friday,4,0,4,1.0,Almelo - Deventer,accidents,aanrijding,1
59509,17,Friday,4,0,6,1.0,Dordrecht - Geldermalsen,accidents,aanrijding,1
59510,17,Friday,4,0,7,1.0,Den Haag HS - Rotterdam Centraal,rolling stock,defecte trein,0
59511,19,Friday,4,0,5,1.0,Amersfoort - Zwolle,external,inzet van de politie,0
59512,19,Friday,4,0,4,3.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,0
59513,20,Friday,4,0,6,1.0,Dordrecht - Geldermalsen,infrastructure,wisselstoring,1
59514,21,Friday,4,0,2,1.0,Deventer - Zutphen,rolling stock,gestrande trein,0
59515,21,Friday,4,0,4,1.0,Amsterdam Centraal - Hoorn,rolling stock,defecte trein,0
59517,23,Friday,4,0,10,1.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,0
59518,23,Friday,4,0,4,1.0,Leiden Centraal - Schiphol Airport,rolling stock,defecte trein,0
59519,23,Friday,4,0,5,1.0,Schiphol Airport - Utrecht Centraal,rolling stock,defecte trein,0
59521,7,Saturday,4,1,6,1.0,Aachen Hbf - Heerlen,staff,problemen met de personeelsinzet,1
59522,9,Saturday,4,1,6,1.0,Almelo - Mariënberg,rolling stock,beperkingen in de materieelinzet,1
59523,10,Saturday,4,1,3,1.0,Groningen - Leeuwarden,accidents,aanrijding,1
59524,13,Saturday,4,1,4,2.0,Amsterdam Centraal - Utrecht Centraal,unknown,technisch onderzoek,1
59525,15,Saturday,4,1,3,1.0,Almere Oostvaarders - Utrecht Centraal,external,brandmelding,1
59526,16,Saturday,4,1,8,1.0,Amsterdam Centraal - Lelystad Centrum,external,brandmelding,1
59530,19,Saturday,4,1,5,2.0,Amsterdam Centraal - Schiphol Airport,rolling stock,rook in een trein,0
59531,19,Saturday,4,1,2,1.0,Nijmegen - Venlo,infrastructure,seinstoring,1
59532,19,Saturday,4,1,10,1.0,Amersfoort - Schiphol Airport,external,persoon op het spoor,0
59533,20,Saturday,4,1,4,1.0,Leiden Centraal - Schiphol Airport,external,persoon op het spoor,0
59534,20,Saturday,4,1,5,1.0,Schiphol Airport - Utrecht Centraal,external,persoon op het spoor,0
59536,21,Saturday,4,1,18,8.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,1
59537,5,Sunday,4,1,5,2.0,Amsterdam Centraal - Utrecht Centraal,engineering work,uitloop van werkzaamheden,1
59538,6,Sunday,4,1,5,3.0,Groningen - Bad Nieuweschans,infrastructure,wisselstoring,0
59539,7,Sunday,4,1,3,1.0,'s-Hertogenbosch - Eindhoven,accidents,aanrijding,0
59540,7,Sunday,4,1,18,8.0,Amersfoort - Schiphol Airport,rolling stock,gestrande trein,0
59542,15,Sunday,4,1,2,2.0,Aachen Hbf - Heerlen,rolling stock,defecte trein,1
59543,15,Sunday,4,1,5,4.0,Arnhem Centraal - Basel SBB,infrastructure,seinstoring,1
59544,16,Sunday,4,1,4,1.0,Roermond - Sittard,infrastructure,seinstoring,0
59545,17,Sunday,4,1,4,1.0,Roermond - Sittard,infrastructure,seinstoring,1
59546,17,Sunday,4,1,5,1.0,Roermond - Venlo,rolling stock,defecte trein,0
59547,18,Sunday,4,1,2,1.0,Breda - Rotterdam Centraal (HSL),infrastructure,seinstoring,0
59548,22,Sunday,4,1,3,2.0,'s-Hertogenbosch - Utrecht Centraal,unknown,technisch onderzoek,1
59549,22,Sunday,4,1,4,1.0,Eindhoven - Venlo,rolling stock,defecte trein,0
59550,6,Monday,4,0,6,1.0,Dordrecht - Roosendaal,infrastructure,defecte bovenleiding,1
59551,6,Monday,4,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),rolling stock,defecte trein,0
59553,7,Monday,4,0,6,1.0,Eindhoven - Tilburg,rolling stock,defecte trein,1
59555,9,Monday,4,0,5,1.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,1
59556,10,Monday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),external,mensen op het spoor,0
59557,11,Monday,4,0,4,1.0,Aachen Hbf - Heerlen,infrastructure,seinstoring,1
59558,14,Monday,4,0,5,1.0,Amersfoort - Ede-Wageningen,infrastructure,seinstoring,1
59560,14,Monday,4,0,5,1.0,Breda - Tilburg,rolling stock,gestrande trein,0
59561,15,Monday,4,0,4,1.0,Den Haag HS - Rotterdam Centraal,rolling stock,defecte trein,0
59562,15,Monday,4,0,4,1.0,Nijmegen - Venlo,engineering work,herstelwerkzaamheden,1
59563,16,Monday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),infrastructure,seinstoring,0
59564,17,Monday,4,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),rolling stock,defecte trein,0
59565,17,Monday,4,0,5,1.0,Eindhoven - Roermond,unknown,technisch onderzoek,0
59566,18,Monday,4,0,3,1.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,1
59567,18,Monday,4,0,8,1.0,Amsterdam Centraal - Lelystad Centrum,rolling stock,defecte trein,0
59568,18,Monday,4,0,5,1.0,Breda - Tilburg,rolling stock,defecte trein,0
59569,19,Monday,4,0,4,1.0,Amsterdam Centraal - Haarlem,rolling stock,defecte trein,0
59570,19,Monday,4,0,4,1.0,Amsterdam Centraal - Haarlem,external,persoon op het spoor,0
59571,20,Monday,4,0,2,1.0,Leiden Centraal - Utrecht Centraal,accidents,beschadigde spoorbrug,1
59572,20,Monday,4,0,5,1.0,Almelo - Deventer,rolling stock,gestrande trein,0
59573,22,Monday,4,0,3,3.0,Arnhem Centraal - Basel SBB,rolling stock,defecte trein,0
59574,0,Tuesday,4,0,5,1.0,Almelo - Deventer,accidents,aanrijding,0
59575,7,Tuesday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),rolling stock,gestrande trein,0
59576,10,Tuesday,4,0,3,1.0,Leeuwarden - Zwolle,infrastructure,defecte spoorbrug,1
59577,10,Tuesday,4,0,3,1.0,Breda - Roosendaal,accidents,aanrijding,1
59578,10,Tuesday,4,0,3,1.0,Nijmegen - Venlo,infrastructure,seinstoring,0
59579,11,Tuesday,4,0,3,1.0,Nijmegen - Venlo,infrastructure,seinstoring,1
59580,13,Tuesday,4,0,8,2.0,Amsterdam Centraal - Utrecht Centraal,infrastructure,seinstoring,1
59581,13,Tuesday,4,0,4,2.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,0
59582,13,Tuesday,4,0,4,1.0,Schiphol Airport - Utrecht Centraal,unknown,technisch onderzoek,0
59583,14,Tuesday,4,0,5,1.0,Amsterdam Centraal - Haarlem,engineering work,herstelwerkzaamheden,1
59584,14,Tuesday,4,0,3,2.0,Amsterdam Centraal - Schiphol Airport,engineering work,herstelwerkzaamheden,1
59585,15,Tuesday,4,0,4,1.0,Amersfoort - Ede-Wageningen,infrastructure,seinstoring,1
59586,16,Tuesday,4,0,3,1.0,'s-Hertogenbosch - Nijmegen,accidents,aanrijding,1
59587,19,Tuesday,4,0,4,2.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,1
59588,19,Tuesday,4,0,5,3.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,0
59590,20,Tuesday,4,0,11,1.0,Amersfoort - Zwolle,rolling stock,defecte trein,0
59591,20,Tuesday,4,0,5,2.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,0
59592,20,Tuesday,4,0,5,2.0,Amersfoort - Amsterdam Centraal,rolling stock,defecte trein,0
59593,22,Tuesday,4,0,4,2.0,'s-Hertogenbosch - Utrecht Centraal,infrastructure,wisselstoring,1
59594,0,Wednesday,4,0,8,1.0,Dordrecht - Rotterdam Centraal,rolling stock,defecte trein,0
